State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5W,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Alabama,Baldwin County,1003,182265,ND,ND,ND,ND,0.064,ND,IN,IN,ND
Alabama,Clay County,1027,13932,ND,ND,ND,ND,ND,ND,7,15,ND
Alabama,Colbert County,1033,54428,ND,ND,ND,ND,0.06,ND,7.5,16,ND
Alabama,DeKalb County,1049,71109,ND,ND,ND,ND,0.064,ND,7,16,ND
Alabama,Elmore County,1051,79303,ND,ND,ND,ND,0.06,ND,ND,ND,ND
Alabama,Escambia County,1053,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Etowah County,1055,104430,ND,ND,ND,ND,0.064,ND,7.8,15,ND
Alabama,Houston County,1069,101547,ND,ND,ND,ND,0.061,ND,7.7,17,ND
Alabama,Jefferson County,1073,658466,1,ND,11,45,0.07,65,10.2,22,54
Alabama,Madison County,1089,334811,ND,ND,ND,ND,0.065,33,7.4,16,ND
Alabama,Mobile County,1097,412992,ND,ND,ND,ND,0.065,ND,8.1,17,10
Alabama,Montgomery County,1101,229363,ND,ND,ND,ND,0.062,49,8.4,18,ND
Alabama,Morgan County,1103,119490,ND,ND,ND,ND,0.066,ND,7.4,16,ND
Alabama,Pike County,1109,32899,ND,0.11,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,1113,52947,ND,ND,ND,ND,0.061,ND,9.3,20,ND
Alabama,Shelby County,1117,195085,ND,ND,ND,ND,0.067,ND,IN,IN,72
Alabama,Sumter County,1119,13763,ND,ND,ND,ND,0.06,ND,IN,IN,4
Alabama,Talladega County,1121,82291,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Tuscaloosa County,1125,194656,ND,ND,ND,ND,0.063,ND,7.7,17,ND
