,date,text
0,2020-04-05 23:59:34,"PROMISING NEWS! We asked a local doctor about Hydroxychloroquine, the malaria drug President Trump has been pushing. He says he has prescribed it along with Zinc to severely ill Covid-19 patients and says they are SYMPTOM FREE in 8-12 hours. WATCH: https://bit.ly/2UZkueQ @ABC7"
1,2020-04-05 23:59:11,"ToP 10 #LightsOverLockdown Videos That could Amaze the world, in war time crisis ! Video 1. Corona will commit suicide by any chance of seeing this. What a creativity ! "
2,2020-04-05 23:59:01,#MakeChinaPay China owes us all. #Covid_19 #ChineseVirus
3,2020-04-05 23:58:34,#Hydroxycloroquine shows promising results in Michigan.
4,2020-04-05 23:58:29,Yes and their numbers are going down!
5,2020-04-05 23:58:07,My ex husband has coronavirus. He was put on hydroxychloriquine in the hospital and thankfully is recovering at home. This drug definitely worked for him.
6,2020-04-05 23:58:00,"Based upon what I've seen, it looks like hospitals are reclassifying viral pneumonia deaths caused by the seasonal flu as COVID-19 deaths in order to secure additional government money. Nice trick."
7,2020-04-05 23:56:02,I'm the one who set up the Convention Center for #coronavirus care. Federal officials said Jenkins said he didn't want to use it. For obvious reasons he's quickly walking it back. 
8,2020-04-05 23:55:01,It’s more important than ever that we come together as #OneMinnesota to address the crisis of COVID-19. Tune in live for my State of the State. #MNSOTS
9,2020-04-05 23:54:49,R.I.P. MIKE LOVED YOU ON my #Edge of Night Star Forrest Compton Dead At 94 from COVID-19 : 
10,2020-04-05 23:52:18,"""Love in the Time of Quarantine"" Double exposures on fp-3000b film. The subjects are never in the same shot, but two separate images on the same film. A couple together, yet apart. I thought double exposures would be a good way to express social distancing. #Covid_19 #coronavirus "
11,2020-04-05 23:51:22,seems so fitting that the administration’s plan to fix coronavirus is One Weird Trick Doctors Dont Want You To Hear
12,2020-04-05 23:50:47,Tiger at New York's Bronx Zoo tests positive for coronavirus https://reut.rs/2xPoYN9
13,2020-04-05 23:49:47,Reverse Engineering the Australian Government’s Coronavirus iOS application #MobileSecurity #iOSsecurity by @wabzqem
14,2020-04-05 23:47:12,i'm Not Corona 
15,2020-04-05 23:45:41,"It's anecdotal but I've heard from MANY people who say they had a pretty serious covid-like illness in December, January, or February. Just as I did. Many say they tested negative for flu. Did the horse leave the barn months ago and we're decimating the economy for no reason?"
16,2020-04-05 23:44:01,"Trump’s trying to paint a rosy picture on things, when we haven’t even reached a peak. Trump’s a pathological liar giving false hope and committing fraud on the American people. He lied about and downplayed the coronavirus, leading to more Americans getting sick and dying. Awful."
17,2020-04-05 23:43:37,How tf tigers getting tested for coronavirus when tests are supposedly limited for humans? 
18,2020-04-05 23:43:30,"The only thing I have learned so far about the Corona Virus is that overreacting and under-reacting look exactly the same and I have no idea which one we are doing. I hope we figure that out soon, because until we do, there is no end in sight."
19,2020-04-05 23:43:18,He’s 12 years old. This is trump throughout Mike Pence’s entire talk during the coronavirus press conference right now. 
20,2020-04-05 23:59:38,eat shit covid pic.twitter.com/1RQX9J2kXl
21,2020-04-05 23:57:03,"Covid-19 has claimed Rafael Gómez Nieto, who was 99 and the last survivor of a military unit that helped liberate Paris from the Nazis in 1944. "
22,2020-04-05 23:56:22,It's time to pray for British Prime Minister Boris Johnson who has been admitted into the hospital because his condition has worsened due to coronavirus.
23,2020-04-05 23:56:13,First time I've had a snake try to sell me snake oil... #CoronavirusPressRally #Covid_19
24,2020-04-05 23:55:30,"i just watched irreversible for the first time and threw up, then i was thinking i had corona or was severely anxious but then i just read this... "
